Label,Author names (temp: move),PQ,research_url,"Main data, outcome , or metric category (for PQs)",Method/analyses/expertise used,Relevance_rating_for_PQ,PQ_specific_discussion,working_paper_release_date,management_discuss,publication_status
"Life Satisfaction, QALYs, and the Monetary Value of Health. ","Huang et al. (2018) - Huang, Frijters, Dalziel and  Clarke","DALY/WELLBY interconvertibility ",https://eprints.lse.ac.uk/89398/1/Frijters_Life-satisfaction-Published.pdf,Wealthy country large survey on health and well-being,"Panel data/longitudinal studies,Policy/Methodology Formalization,Economic Valuation/WTP/Stated values",85%,"Category: Empirical Valuation Study Linking Health and Wellbeing Measures through Life Satisfaction Regression

Group: Life Satisfaction–Based Valuation of QALYs

Why it’s relevant to the pivotal questions
This paper directly addresses the second pivotal question on the interconvertibility between WELLBYs and QALYs. It provides one of the first empirical attempts to connect wellbeing-based and health-based outcome measures using real-world survey data rather than conceptual arguments. By estimating how changes in health status affect subjective wellbeing and how both relate to income, the paper creates a measurable link between the life satisfaction metric that underlies WELLBYs and the health-utility scale used in QALYs.

What the Paper Does
The authors use data from the Household, Income and Labour Dynamics in Australia (HILDA) survey covering 28,347 individuals (2002–2015). They estimate a fixed-effects life satisfaction regression where subjective wellbeing (on a 0–10 scale) is the dependent variable, and income and health status are the key explanatory variables. Health status is measured using the SF-6D, which is directly convertible to QALY weights. Income is instrumented using financial worsening events to address endogeneity.

The coefficients from this model are then used to calculate the income equivalent of a one-unit health improvement in wellbeing terms. Specifically, they compare how much life satisfaction increases with better health (the health coefficient) to how much it increases with higher income (the income coefficient). Dividing one by the other gives the amount of income that would generate the same wellbeing gain as a one-unit improvement in health utility. This provides an implicit monetary valuation of a QALY based on subjective wellbeing data.

The results suggest that an additional QALY is valued at around A$42,000 for a temporary one-year health gain and A$67,000 for a permanent improvement. Conceptually, this framework links QALYs and WELLBYs by expressing health changes in the same wellbeing units that underlie WELLBY measurement, thereby allowing for translation between the two systems.

Implications for WELLBY-Based Policy Analysis
This study provides the first empirical bridge between health utility and wellbeing-based measures by placing both on a common wellbeing scale. It shows that wellbeing data can be used to derive the monetary value of health improvements, suggesting that WELLBY-based cost-effectiveness analysis can, in principle, be integrated with QALY-based frameworks. However, the mapping is statistical rather than conceptual, and the resulting conversion ratio depends on the sample, wellbeing measure, and assumed linearity of scales.",,"Martha:

Overall Assessment
A methodologically rigorous and empirically grounded paper that provides a clear and quantifiable link between QALYs and WELLBYs. Its strength lies in demonstrating, with real survey data, how wellbeing and health measures can be connected through income-equivalent valuation. Its limitation is that it monetises QALYs using life satisfaction rather than providing a direct unit-for-unit conversion between QALYs and WELLBYs, but it remains a key empirical foundation for future work on wellbeing–health interconvertibility.",
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Benjamin et al. (2023),"DALY/WELLBY interconvertibility ,Measuring Well-being/WELLBY reliability  ",https://www.nber.org/papers/w31728,Vignette/calibration study/choice experiment,"Psychometrics/scale testing,Welfare economics,Cardinality/ordinality of scales",80%,"NOTE: already evaluated here (interim version), but you may want to consult this paper and then the evaluations

Why it’s relevant to the pivotal questions:

Tackles the question of whether WELLBYs are a reliable measure on several grounds. Proposes a method to measure and adjust for scale use heterogeneity. 

If respondents show scale-use heterogeneity, this poses a challenge for the use of Subjective Wellbeing (SWB) data in policy. Fixed effects regressions adjust for mean differences in scale use but not other scale use heterogeneity. Cross-sectional analysis does not make any adjustment for scale use heterogeneity. 

What methods: This paper differentiates between dimensional scale use heterogeneity (w.r.t. SWB) and general scale use heterogeneity (response style generally). It draws on approaches that use (other) survey questions to evaluate response styles and [on approaches] using control items.  This paper uses a continuous response scale and uses calibrating questions asked on a scale without physical units (some of them visual); these are designed so that “true answers should be the same across respondents”. [

Findings: Provides evidence of substantial heterogeneity in scale use, mostly due to differences in general scale use: adjusting for scale use changes the conclusion for some SWB analyses. This suggests that an optimal WELLBY wellbeing measure could include calibrating questions. ",12/1/2023,"DR: We should categorize: the type of the questions and the nature of the participants (e.g., LMIC or rich world)]",Working paper/mimeo; not published in a peer-reviewed journal
"A Handbook for Wellbeing Policy-Making: History, Theory, Measurements, Implementation and Examples (Chapter 4)","Frijters & Krekel (2021) ","DALY/WELLBY interconvertibility ,Measuring Well-being/WELLBY reliability  ",https://academic.oup.com/book/39348,,"Policy/Methodology Formalization,Psychometrics/scale testing,Literature synthesis,Cost-effectiveness analysis,Cardinality/ordinality of scales",80%,"Category: Conceptual–Applied Handbook (Methodological Synthesis and Policy Implementation Guide)

Why it’s relevant to the pivotal questions:

This handbook addresses both pivotal questions. It provides a comprehensive guide to the use of WELLBYs for policy evaluation and examines the relationship between WELLBYs and QALYs. The text combines conceptual discussion, empirical synthesis, and practical instruction for applying wellbeing data within cost-effectiveness (CEA) and cost–benefit (CBA) frameworks.

Chapter 2 discusses the reliability of WELLBYs, outlining the assumptions underlying the aggregation of wellbeing data and reviewing evidence on how survey design influences reported wellbeing.
Chapter 3 explains how to compute cost-per-WELLBY and describes re-scaling techniques for harmonising different wellbeing scales.
Chapter 4 examines the interconvertibility between WELLBYs and QALYs, covering both conceptual parallels and practical conversion approaches.

The handbook also includes a ranking of the cost-effectiveness of fifteen interventions across sectors and countries, presented as cost per WELLBY.

What the Work Does

This is a policy methods handbook rather than an empirical study. It organises the theory, data sources, and techniques underlying WELLBY-based evaluation. The text integrates previous research on the reliability of wellbeing data, standardises procedures for conducting CEA and CBA with WELLBYs, and provides worked examples of cost-per-WELLBY calculations. The appendices include formulae, guidance on scale harmonisation and re-scaling, and instructions for computing discounted lifetime WELLBYs. The work functions as both a technical reference and a policy implementation guide for wellbeing-adjusted evaluation.

Implications for WELLBY-Based Policy Analysis

The handbook sets out the operational procedures for incorporating WELLBYs into public policy appraisal. It outlines the empirical and methodological basis for using life satisfaction data in wellbeing valuation and summarises approaches for relating WELLBYs to QALYs. It serves as a practical guide for analysts using wellbeing metrics in cost-effectiveness and cost–benefit frameworks.",,,
How Threatening Are Transformations of Happiness Scales to Subjective Wellbeing Research?,"Kaiser & Vendrik (2020) ","Measuring Well-being/WELLBY reliability  ",https://www.econstor.eu/bitstream/10419/232657/1/dp13905.pdf,Wealthy country large survey on health and well-being,Psychometrics/scale testing,80%,"Category: Theoretical and Empirical Test of Scale Robustness in Subjective Wellbeing Measurement

Group: Cardinality - Discussion

Why Relevant (Link to Pivotal Questions)

This paper addresses the first pivotal question. Kaiser and Vendrik (2020) test whether standard subjective wellbeing (SWB) regressions remain valid when the 0–10 happiness or life-satisfaction scales are interpreted only ordinally rather than cardinally. Their analysis responds to the critique by Bond and Lang (2019), who argued that monotonic transformations of wellbeing scales could reverse estimated effects and therefore undermine the reliability of SWB-based welfare metrics. By showing that such reversals require implausibly strong non-linear transformations, the paper provides direct evidence that SWB scales can be treated as approximately cardinal—an assumption essential for aggregating wellbeing into additive units such as WELLBYs.

What the Paper Does

The authors combine theoretical identification analysis with empirical testing using the German Socio-Economic Panel (SOEP).

They formally derive the conditions under which scale transformations could change the sign of coefficients in happiness regressions and propose a simple “re-labelling test” to detect such cases.

They show analytically that reversals would only occur if explanatory variables had opposite-signed effects across different parts of the wellbeing distribution—an unrealistic assumption for standard determinants such as income or employment.

They then test these conditions empirically in SOEP data, examining key predictors of life satisfaction.

Across both analyses, they find that the transformations needed to reverse results would have to be extremely non-linear and empirically implausible. Standard estimates of the effects of income, age, and unemployment remain stable under all plausible transformations.

Implications for WELLBY-Based Policy Analysis

Kaiser and Vendrik’s results support the view that SWB scales behave approximately linearly and that standard estimation methods are robust to re-scaling. This implies that WELLBYs can be treated as reliable, additive units of wellbeing without serious risk that findings depend on arbitrary scale coding. The paper thus reinforces the empirical foundations for using SWB data in cost-effectiveness analysis and welfare aggregation.

Overall Assessment

A rigorous theoretical-empirical validation of the cardinal reliability of wellbeing scales. The study provides strong reassurance that WELLBY-style measures are robust to monotonic transformations, directly addressing concerns raised by Bond and Lang (2019).",,,
"""Measuring the Unmeasurable? Systematic Evidence on Scale Transformations in Subjective Survey Data.""  -- DR suggests","Kaiser, Caspar, and Anthony Lepinteur.","DALY/WELLBY interconvertibility ,Measuring Well-being/WELLBY reliability  ",https://docs.iza.org/dp18029.pdf,Vignette/calibration study/choice experiment,"Panel data/longitudinal studies,Psychometrics/scale testing,Cardinality/ordinality of scales",80%,Suggested by Alberto Prati in his review of Benjamin et al. Seems very relevant to the WELLBY linearity question,,,
A happy probability about happiness (and other) scales: an exploration and tentative defence of the cardinality assumption.,Plant (2024),"DALY/WELLBY interconvertibility ",https://wellbeing.hmc.ox.ac.uk/wp-content/uploads/2024/02/2401-WP-A-Happy-Probability-DOI.pdf,,"Psychometrics/scale testing,Literature synthesis,Cardinality/ordinality of scales",75%,"Category: Conceptual–Theoretical Paper with Targeted Literature Review

Group: Cardinality - Discussion

Why Relevant (Link to Pivotal Questions)

This paper addresses the first pivotal question: how reliable WELLBY measures are. Plant (2024) examines whether subjective well-being (SWB) scales can be treated as cardinal. That is: whether equal changes in reported well-being correspond to equal changes in underlying well-being across individuals and over time. This assumption is fundamental when aggregating well-being across people, as in WELLBY-based policy analysis, where total well-being depends on additive and comparable units. While weaker assumptions, such as stable intra-person scales, may suffice for within-person or within-population comparisons, full cardinality is required for summing WELLBYs across individuals in cost-effectiveness frameworks.

Note: This paragraph was revised following DR’s comment to clarify that full cardinality is required explicitly for cross-person aggregation (as in WELLBY totals), whereas weaker assumptions may be adequate for within-person or within-group comparisons.

What the Paper Does

Plant provides a conceptual defence of cardinality, arguing that deviations from it are small and not policy-relevant. He (1) reframes the debate as one of degree, (2) advances a Grice–Schelling argument that rational respondents interpret wellbeing scales linearly to communicate accurately, and (3) argues that random noise in reporting averages out rather than biasing results. The paper also reviews empirical evidence: studies on linearity (Oswald, 2008; van Praag, 1991; Krueger & Schkade, 2007; Kaiser & Vendrik, 2020) showing that individuals use bounded numerical scales in an approximately linear way; on intertemporal comparability, evidence from life-event and memory-based studies (Clark et al., 2008, 2016, 2018; Luhmann et al., 2012; Prati & Senik, 2020; Kaiser, 2022) suggesting only limited rescaling over time; and on interpersonal comparability, vignette, linguistic, and cross-country evidence (Angelini et al., 2014; Montgomery, 2022; Samuelsson et al., 2023; YouGov, 2018; Helliwell et al., 2023) indicating that differences in scale use across groups are small. Across these literatures, Plant concludes that any deviations from cardinality are minor and unlikely to undermine the use of WELLBYs in policy analysis.

Implications for WELLBY-Based Policy Analysis

Plant’s defence supports treating SWB scales as approximately cardinal and comparable, reinforcing the reliability of WELLBYs for cost-effectiveness analysis. While not directly focused on QALY conversion, the argument also strengthens the conceptual basis for interconvertibility, since both rely on linear, cardinal measurement.

 Overall Assessment

Provides the strongest available conceptual defence of the cardinality and reliability of SWB measures, but relies on theoretical reasoning rather than new empirical evidence.

",,,
The Sad Truth about Happiness Scales,Bond & Lang (2019),"Measuring Well-being/WELLBY reliability  ",https://open.bu.edu/server/api/core/bitstreams/12666acb-7311-4a94-9b1a-340b39d5705e/content,Wealthy country large survey on health and well-being,"Psychometrics/scale testing,Cardinality/ordinality of scales",75%,"Category: Theoretical–Methodological Paper with Illustrative Empirical Reanalysis

Group: Cardinality - Discussion

Why Relevant (Link to Pivotal Questions)

This paper directly addresses the first pivotal question: the reliability of WELLBY measures, by challenging the fundamental assumption that subjective wellbeing (SWB) data can be meaningfully cardinalized and aggregated across individuals or groups. Bond and Lang (2019) demonstrate that ordinal wellbeing responses (e.g. “very happy,” “pretty happy”) lack the statistical properties required for identifying average levels of wellbeing across groups unless extremely restrictive assumptions hold. Their argument thus questions whether the WELLBY framework can rely on SWB data without imposing strong, and arguably unrealistic, cardinality and comparability assumptions.

What this Paper does

The authors develop a theoretical critique and apply formal identification tests to nine major findings from the happiness literature, including the Easterlin paradox, age–happiness curves, and the effect of marriage or unemployment on wellbeing. They show that:

* Nonparametric identification of mean happiness requires first-order stochastic dominance between groups, which is almost never satisfied in real-world data.
* Parametric models (e.g. ordered probit/logit) identify results only under implausible assumptions of equal variances and common reporting functions.
* Small monotonic (lognormal) transformations of the latent wellbeing scale can reverse the direction of reported effects.
Empirically, all nine tested literatures fail these identification criteria, and tests for equal reporting functions are consistently rejected.

Implications for WELLBY-Based Policy Analysis

Bond and Lang’s findings imply that WELLBY-based aggregation of SWB data lacks a secure statistical foundation unless stronger assumptions about linearity, comparability, and reporting consistency can be empirically validated. Their results cast doubt on the reliability of average wellbeing differences as welfare-relevant metrics, suggesting that policy evaluations using WELLBYs could be sensitive to arbitrary scaling choices. The critique therefore underpins later defences (e.g. Plant, 2024) that attempt to re-establish the plausibility of cardinal comparability.

Overall Assesment

A technically rigorous and influential critique that forms the central empirical and theoretical challenge to the cardinal interpretation of wellbeing data. The paper is primarily conceptual–analytical, combining formal identification analysis with illustrative reanalyses of existing wellbeing datasets to demonstrate how standard findings in the happiness literature can reverse under plausible alternative reporting functions. It introduces no new data but uses existing studies to illustrate the identification problem in practice. Its relevance lies in defining the statistical and conceptual limits of what subjective wellbeing data can identify, making it indispensable for understanding the reliability constraints of WELLBY-based policy metrics.",,,
An empirical comparison of well-being measures used in the UK,"Mukuria et al. (2016) - Mukuria, Rowen, Peasgood, Brazier","DALY/WELLBY interconvertibility ",https://eprints.whiterose.ac.uk/id/eprint/99499/,Wealthy country large survey on health and well-being,Literature synthesis,75%,"Category: Empirical Comparison of Wellbeing and Health Measures

Why Relevant (Link to Pivotal Questions)

This paper directly addresses the second pivotal question: the interconvertibility between WELLBYs and QALYs. It provides the first large-scale empirical comparison of wellbeing, health utility, and capability measures that underpin these two frameworks. Using data from five UK datasets, including Understanding Society (which contains the ONS-4 life satisfaction question on a 0–10 scale, the evaluative wellbeing measure used in WELLBYs) and the Health Survey for England (which includes EQ-5D health utility scores used to calculate QALYs). The authors test whether these instruments capture overlapping or distinct aspects of welfare. By comparing how each measure correlates, discriminates across health states, and loads onto common latent factors, the study directly examines the empirical relationship between wellbeing-based and health-based outcomes.

What the Paper Does

Mukuria et al. conduct a comparative analysis of several wellbeing and health instruments: ONS-4, SWEMWBS, GHQ-12, ICECAP-A/O, EQ-5D, SF-6D, and ASCOT (using five large UK datasets). They apply correlations, factor analysis, and regression-based effect size tests to examine three main questions:

* Convergent validity: Do wellbeing measures (like life satisfaction) and health measures (like EQ-5D) move together in practice?
* Dimensionality: Do these questions capture the same underlying concept of welfare, or distinct aspects such as mental versus physical wellbeing?
* Sensitivity: Do the measures respond similarly to differences in people’s physical and mental health?

They find that wellbeing measures (life satisfaction, happiness, ICECAP) are strongly correlated with one another but only moderately with health measures (EQ-5D, SF-6D). Wellbeing indicators are less responsive to physical health differences but more sensitive to mental health, indicating that the two types of metrics capture related but distinct dimensions of welfare.

Implications for WELLBY-Based Policy Analysis

The findings suggest that life satisfaction-based WELLBYs and QALY-based health measures are empirically related but conceptually distinct. The EQ-5D, used to derive QALYs, captures primarily physical health and functioning, whereas the ONS-4 and other SWB instruments reflect a broader conception of wellbeing that includes social and psychological dimensions. This means that numerical mapping between the two is statistically feasible but normatively constrained: converting a one-point change in life satisfaction into a QALY-equivalent requires assumptions about the relative importance of physical and mental domains. Thus, the paper supports the view that WELLBYs and QALYs complement each other rather than substitute for one another in policy evaluation.

Overall Assessment

A comprehensive, data-driven empirical comparison of wellbeing, health, and capability measures using large-scale UK survey data. The study provides strong quantitative evidence on how the life satisfaction scale underlying WELLBYs relates to the EQ-5D utilities used to calculate QALYs. However, it does not attempt a direct conversion or unifying welfare metric; instead, it clarifies the extent of empirical overlap and conceptual separation between the two systems. Its relevance lies in defining both the promise and limits of WELLBY–QALY interconvertibility for policy applications.

[DR: At a glance, it seems super relevant. Does it actually include the scale used in the WELLBY measure? ] Addressing this comment: This paper does include the exact scale used in the WELLBY measure—the ONS-4 life satisfaction question (“Overall, how satisfied are you with your life nowadays?”) measured on a 0–10 scale within the Understanding Society dataset.

",,,
Wellbeing discussion paper: monetisation of life satisfaction effect sizes,MacLennan & Stead (2021),"DALY/WELLBY interconvertibility ,Measuring Well-being/WELLBY reliability  ",https://assets.publishing.service.gov.uk/media/60fa91c68fa8f50431ca80da/Wellbeing_guidance_for_appraisal_-_background_paper_reviewing_methods_and_approaches.pdf?utm_source=chatgpt.com,,"Literature Synthesis & Review,Policy/Methodology Formalization,Economic Valuation/WTP/Stated values",75%,"Category: Government Discussion Paper and Policy-Oriented Review on Wellbeing Valuation and Appraisal

Why Relevant (Link to Pivotal Questions)
This discussion paper addresses both pivotal questions and played an important role in shaping the UK Government’s wellbeing policy agenda. Commissioned to inform updates to the HM Treasury Green Book, it reviews the evidence base for integrating subjective wellbeing (SWB) measures into policy appraisal. The paper examines both the reliability of SWB metrics for constructing WELLBYs and their potential alignment with QALY-based cost–effectiveness analysis.

What the Paper Does
The authors provide a detailed review of conceptual and methodological approaches to wellbeing valuation, drawing on life satisfaction, ONS-4, and health utility measures such as EQ-5D and ICECAP. It summarises the theoretical assumptions underpinning scale cardinality, comparability, and anchoring, and evaluates methods for monetising wellbeing effects through wellbeing–income regressions and compensating variation. The paper’s function is primarily to inform government practice, synthesising existing research rather than providing new empirical evidence.

Implications for WELLBY-Based Policy Analysis
The discussion paper establishes the conceptual and methodological foundation for using WELLBYs in official cost–benefit analysis. It influenced subsequent Green Book revisions by clarifying how wellbeing-based approaches can complement, though not yet replace, QALY-based evaluations. While it supports the feasibility of a unified wellbeing metric, it underscores persistent gaps in empirical calibration and scale interpretation that limit direct WELLBY–QALY conversion.

",,,
The value of health - Empirical issues when estimating the monetary value of a QALY based on well-being data,"Himmler et al. (2020) - Himmler, Stöckel, van Exel, Brouwer, Werner ","DALY/WELLBY interconvertibility ",https://www.econstor.eu/bitstream/10419/224090/1/1727957334.pdf,Wealthy country large survey on health and well-being,Panel data/longitudinal studies,75%,"Category: Empirical Valuation Study Using Life Satisfaction (0–10 Scale) to Monetise Health Gains (Extension and Refinement of Huang et al. 2018)

Group: Life Satisfaction–Based Valuation of QALYs

Why Relevant (Link to Pivotal Questions)
This paper addresses the second pivotal question: the interconvertibility between WELLBYs and QALYs. It builds directly on Huang (2018), extending the wellbeing valuation approach to German data and refining the estimation of how self-reported life satisfaction—measured on a 0–10 scale, the same evaluative SWB measure used to construct WELLBYs, relates to health and income. By doing so, it provides an empirical bridge between QALY-based and wellbeing-based frameworks, testing whether QALY values can be derived from subjective wellbeing data.

What the Paper Does
Using life satisfaction data from the German Socio-Economic Panel (SOEP, over 25,000 individuals), the authors estimate fixed-effects regressions with life satisfaction (0–10 scale) as the dependent variable, and income and health status (SF-6D index) as explanatory variables. They improve on Huang (2018) by testing different functional forms for the income–utility relationship and allowing for health-state dependence in the marginal utility of income. From these estimates, they calculate how much additional income would be required to offset a health loss, thereby deriving the monetary value of a one-unit QALY. Their results suggest an average willingness-to-pay of around €45,000 per QALY-equivalent year.

Implications for WELLBY-Based Policy Analysis
The study demonstrates that subjective wellbeing data can be used to infer QALY values in monetary and wellbeing terms, supporting the practical interconvertibility between the two frameworks. However, the link depends on strong assumptions: that life satisfaction captures total wellbeing, and that the health–income–wellbeing relationship is stable across individuals and contexts. Thus, while empirical comparability is possible, conceptual equivalence remains limited: QALYs isolate health-related quality of life, whereas WELLBYs capture overall subjective wellbeing.

Overall Assessment
A robust empirical contribution that extends Huang (2018) and strengthens the empirical bridge between QALY and WELLBY frameworks. It shows how wellbeing data can be used to monetise health gains, while also illustrating the conceptual limits of equating the two measures.",,,
